game_key,app_id,title,owners_min,owners_max,owners_midpoint,reference_price_usd,effective_price_low,effective_price_base,effective_price_high,revenue_low,revenue_base,revenue_high,success_threshold_revenue,commercial_success_flag,confidence_tier,estimated_profit_proxy
64a1beaba2e3,,Against the Storm,500000,1000000,750000,8.99,3.596,5.394,7.192,2697000,4045500,5394000,1000000,1,Higher,3545500
e8500ffb2582,,ANIMAL WELL,200000,500000,350000,17.49,6.9959999999999996,10.493999999999998,13.991999999999999,2448600,3672899.999999999,4897200,1000000,1,Higher,3172899.999999999
789404fa0888,,Assetto Corsa,0,20000,10000,4.99,1.9960000000000002,2.994,3.9920000000000004,19960.000000000004,29940.000000000004,39920.00000000001,1000000,0,Low,-470060
1d16e1ba9c28,,Balatro,2000000,5000000,3500000,14.99,5.996,8.994,11.992,20986000,31479000,41972000,1000000,1,Higher,30979000
5d016f406ae9,,Baldur's Gate 3,20000000,50000000,35000000,44.99,17.996000000000002,26.994,35.992000000000004,629860000.0000001,944790000,1259720000.0000002,1000000,1,Higher,944290000
1db669c01ded,,Batman: Arkham Asylum GOTY Edition,50000,100000,75000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,599700,899549.9999999999,1199400,1000000,0,Higher,399549.9999999999
223a4adaeebd,,Batman: Arkham City,50000,100000,75000,3.99,1.596,2.394,3.192,119700,179550,239400,1000000,0,Higher,-320450
559371a57f1f,,Batman: Arkham City - Game of the Year Edition,2000000,5000000,3500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,27986000,41978999.99999999,55972000,1000000,1,Higher,41478999.99999999
71744f54654b,,Beat Saber,2000000,5000000,3500000,29.99,11.996,17.994,23.992,41986000,62979000,83972000,1000000,1,Higher,62479000
b29cd759bf7b,,BioShock,2000000,5000000,3500000,4.99,1.9960000000000002,2.994,3.9920000000000004,6986000.000000001,10479000,13972000.000000002,1000000,1,Higher,9979000
7f2f35dbcfbc,,BioShock Infinite,0,20000,10000,7.49,2.9960000000000004,4.494,5.992000000000001,29960.000000000004,44940,59920.00000000001,1000000,0,Low,-455060
559989f38173,,Blue Prince,200000,500000,350000,17.99,7.196,10.793999999999999,14.392,2518600,3777899.9999999995,5037200,1000000,1,Higher,3277899.9999999995
26e3100697cf,,Braid,1000000,2000000,1500000,14.99,5.996,8.994,11.992,8994000,13491000,17988000,1000000,1,Higher,12991000
13e1b29505c4,,Brothers - A Tale of Two Sons,1000000,2000000,1500000,14.99,5.996,8.994,11.992,8994000,13491000,17988000,1000000,1,Higher,12991000
abace6eae675,,BZZZT,100000,200000,150000,3.59,1.436,2.154,2.872,215400,323100,430800,1000000,0,Higher,-176900
8516b58c638d,,Cabernet,50000,100000,75000,13.99,5.596,8.394,11.192,419700,629550,839400,1000000,0,Higher,129550
90f9c505c334,,Caves of Qud,200000,500000,350000,29.99,11.996,17.994,23.992,4198600,6297900,8397200,1000000,1,Higher,5797900
30808097eaa2,,Chained Echoes,200000,500000,350000,24.99,9.996,14.993999999999998,19.992,3498600,5247899.999999999,6997200,1000000,1,Higher,4747899.999999999
5d7bca7be478,,Chicory: A Colorful Tale,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
0a3360d1fa59,,Clair Obscur: Expedition 33,2000000,5000000,3500000,39.99,15.996000000000002,23.994,31.992000000000004,55986000.00000001,83979000,111972000.00000001,1000000,1,Higher,83479000
933241e31f38,,Cobalt Core,100000,200000,150000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,1199400,1799099.9999999998,2398800,1000000,1,Higher,1299099.9999999998
dd9056484759,,Combat Mission 2,0,20000,10000,3.95,1.58,2.37,3.16,15800,23700,31600,1000000,0,Low,-476300
6ba4af358440,,Company of Heroes,1000000,2000000,1500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,11994000,17990999.999999996,23988000,1000000,1,Higher,17490999.999999996
4448a0478da5,,Company of Heroes - Legacy Edition,2000000,5000000,3500000,36.99,14.796000000000001,22.194,29.592000000000002,51786000.00000001,77679000,103572000.00000001,1000000,1,Higher,77179000
f1304bc9a869,,Crusader Kings III,0,20000,10000,49.99,19.996000000000002,29.994,39.992000000000004,199960.00000000003,299940,399920.00000000006,1000000,0,Low,-200060
51ee226f5524,,DARK SOULS II,500000,1000000,750000,39.99,15.996000000000002,23.994,31.992000000000004,11997000.000000002,17995500,23994000.000000004,1000000,1,Higher,17495500
71b365a0e087,,DAVE THE DIVER,5000000,10000000,7500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,59970000,89954999.99999999,119940000,1000000,1,Higher,89454999.99999999
9064ba230658,,despelote,0,20000,10000,7.49,2.9960000000000004,4.494,5.992000000000001,29960.000000000004,44940,59920.00000000001,1000000,0,Low,-455060
29416f5449da,,Deus Ex: Human Revolution - Director's Cut,0,20000,10000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,79960,119939.99999999999,159920,1000000,0,Low,-380060
1ea100c751c1,,DiRT Rally,2000000,5000000,3500000,,,,,,,,1000000,,Higher,
84c9406adee8,,Disco Elysium - The Final Cut,0,20000,10000,39.99,15.996000000000002,23.994,31.992000000000004,159960.00000000003,239940,319920.00000000006,1000000,0,Low,-260060
c77582dfec22,,Dishonored,2000000,5000000,3500000,9.99,3.9960000000000004,5.994,7.992000000000001,13986000.000000002,20979000,27972000.000000004,1000000,1,Higher,20479000
eb4f6d95d13b,,Divinity: Original Sin - Enhanced Edition,1000000,2000000,1500000,39.99,15.996000000000002,23.994,31.992000000000004,23994000.000000004,35991000,47988000.00000001,1000000,1,Higher,35491000
9d6f08a979a3,,Divinity: Original Sin 2 - Definitive Edition,0,20000,10000,44.99,17.996000000000002,26.994,35.992000000000004,179960.00000000003,269940,359920.00000000006,1000000,0,Low,-230060
695cd1a3f9e7,,Dragon Age: Origins,500000,1000000,750000,29.99,11.996,17.994,23.992,8997000,13495500,17994000,1000000,1,Higher,12995500
b03c45c248f5,,Dragon Age: Origins - Ultimate Edition,1000000,2000000,1500000,29.99,11.996,17.994,23.992,17994000,26991000,35988000,1000000,1,Higher,26491000
60a4454144da,,Dwarf Fortress,2000000,5000000,3500000,29.99,11.996,17.994,23.992,41986000,62979000,83972000,1000000,1,Higher,62479000
41f66249ffc7,,ELDEN RING,20000000,50000000,35000000,59.99,23.996000000000002,35.994,47.992000000000004,839860000.0000001,1259790000,1679720000.0000002,1000000,1,Higher,1259290000
58a4099b4ee3,,F1 2016,200000,500000,350000,,,,,,,,1000000,,Higher,
601d8838438b,,F1 2017,200000,500000,350000,,,,,,,,1000000,,Higher,
c800ab4e555e,,F1 2019,500000,1000000,750000,,,,,,,,1000000,,Higher,
1a870cd456c8,,F1 2021,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
dff6ee721b78,,Factorio,5000000,10000000,7500000,35,14,21,28,105000000,157500000,210000000,1000000,1,Higher,157000000
a6c74d6dd672,,Fallout 3,1000000,2000000,1500000,9.99,3.9960000000000004,5.994,7.992000000000001,5994000.000000001,8991000,11988000.000000002,1000000,1,Higher,8491000
444521b1358c,,Fallout 3: Game of the Year Edition,2000000,5000000,3500000,6.59,2.636,3.9539999999999997,5.272,9226000,13839000,18452000,1000000,1,Higher,13339000
128b3e7ef896,,FEZ,1000000,2000000,1500000,9.99,3.9960000000000004,5.994,7.992000000000001,5994000.000000001,8991000,11988000.000000002,1000000,1,Higher,8491000
56bd3ab0160e,,Football Manager 2019,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
69e7bae2eec3,,Football Manager 2022,2000000,5000000,3500000,,,,,,,,1000000,,Higher,
5f2c754f573b,,Galactic Civilizations II: Ultimate Edition,500000,1000000,750000,9.99,3.9960000000000004,5.994,7.992000000000001,2997000.0000000005,4495500,5994000.000000001,1000000,1,Higher,3995500
2b7e087cb42b,,God of War,5000000,10000000,7500000,49.99,19.996000000000002,29.994,39.992000000000004,149970000.00000003,224955000,299940000.00000006,1000000,1,Higher,224455000
66cdd0fd7bed,,God of War Ragnarök,1000000,2000000,1500000,59.99,23.996000000000002,35.994,47.992000000000004,35994000,53991000,71988000,1000000,1,Higher,53491000
73facf214d6a,,Grand Theft Auto III,2000000,5000000,3500000,,,,,,,,1000000,,Higher,
c195b77515fa,,Grand Theft Auto V Legacy,50000000,100000000,75000000,,,,,,,,1000000,,Higher,
8d5dbb710285,,Grand Theft Auto: San Andreas,2000000,5000000,3500000,,,,,,,,1000000,,Higher,
013cd2707e4b,,Grand Theft Auto: Vice City,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
ddc8b7b97ce6,,GT Legends,0,20000,10000,7.99,3.196,4.794,6.392,31960,47939.99999999999,63920,1000000,0,Low,-452060
2ad6353d5453,,Guild Wars 2,2000000,5000000,3500000,0,,,,0,0,0,1000000,0,Higher,
3cc262dce7e3,,Hades,5000000,10000000,7500000,24.99,9.996,14.993999999999998,19.992,74970000,112454999.99999999,149940000,1000000,1,Higher,111954999.99999999
4a2be44aeabe,,Hades II,2000000,5000000,3500000,29.99,11.996,17.994,23.992,41986000,62979000,83972000,1000000,1,Higher,62479000
167ef6f6b881,,Half-Life,10000000,20000000,15000000,9.99,3.9960000000000004,5.994,7.992000000000001,59940000.00000001,89910000,119880000.00000001,1000000,1,Higher,89410000
66c0b7fc07b9,,Half-Life 2,10000000,20000000,15000000,9.99,3.9960000000000004,5.994,7.992000000000001,59940000.00000001,89910000,119880000.00000001,1000000,1,Higher,89410000
9e5dc0fc17c9,,Half-Life: Alyx,2000000,5000000,3500000,59.99,23.996000000000002,35.994,47.992000000000004,83986000.00000001,125979000,167972000.00000003,1000000,1,Higher,125479000
7c867bb864db,,I Expect You To Die 3: Cog in the Machine,50000,100000,75000,24.99,9.996,14.993999999999998,19.992,749700,1124549.9999999998,1499400,1000000,1,Higher,624549.9999999998
c541207bce7a,,I Was a Teenage Exocolonist,200000,500000,350000,24.99,9.996,14.993999999999998,19.992,3498600,5247899.999999999,6997200,1000000,1,Higher,4747899.999999999
82d7cb86bb3b,,Into the Breach,1000000,2000000,1500000,14.99,5.996,8.994,11.992,8994000,13491000,17988000,1000000,1,Higher,12991000
b5a4f04f824d,,Knockout League - Arcade VR Boxing,20000,50000,35000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,279860,419789.99999999994,559720,1000000,0,Medium,-80210.00000000006
70b55be0a6e5,,Kynseed,100000,200000,150000,6.24,2.4960000000000004,3.7439999999999998,4.992000000000001,374400.00000000006,561600,748800.0000000001,1000000,0,Higher,61600
79d9aecbde3f,,Lonely Mountains: Snow Riders,0,20000,10000,14.99,5.996,8.994,11.992,59960.00000000001,89940,119920.00000000001,1000000,0,Low,-410060
15e7be4d53ae,,Mark of the Ninja,1000000,2000000,1500000,4.99,1.9960000000000002,2.994,3.9920000000000004,2994000.0000000005,4491000,5988000.000000001,1000000,1,Higher,3991000
4171cb5a7936,,Mass Effect 2 (2010 Edition),1000000,2000000,1500000,,,,,,,,1000000,,Higher,
81a2ea536ac8,,Mass Effect 2 (2010) Edition,0,20000,10000,29.99,11.996,17.994,23.992,119960,179940,239920,1000000,0,Low,-320060
8fa20336a6f6,,METAL GEAR SOLID V: THE PHANTOM PAIN,2000000,5000000,3500000,17.99,7.196,10.793999999999999,14.392,25186000,37778999.99999999,50372000,1000000,1,Higher,37278999.99999999
c65341c0d7f2,,Metaphor: ReFantazio,1000000,2000000,1500000,69.99,27.996,41.99399999999999,55.992,41994000,62990999.99999999,83988000,1000000,1,Higher,62490999.99999999
f157e03410dc,,Mewgenics,0,20000,10000,29.99,11.996,17.994,23.992,119960,179940,239920,1000000,0,Low,-320060
075c1b7a817f,,Microsoft Flight Simulator 40th Anniversary Edition,2000000,5000000,3500000,59.99,23.996000000000002,35.994,47.992000000000004,83986000.00000001,125979000,167972000.00000003,1000000,1,Higher,125479000
fcd9a9090ca8,,Mission: It's Complicated,0,20000,10000,0,,,,0,0,0,1000000,0,Low,
46f796a545dc,,NBA 2K17,500000,1000000,750000,,,,,,,,1000000,,Higher,
6b19cb3a7fe1,,Okami HD,500000,1000000,750000,9.99,3.9960000000000004,5.994,7.992000000000001,2997000.0000000005,4495500,5994000.000000001,1000000,1,Higher,3995500
f9ed6c75e710,,OlliOlli World,50000,100000,75000,4.99,1.9960000000000002,2.994,3.9920000000000004,149700.00000000003,224550.00000000003,299400.00000000006,1000000,0,Higher,-275450
d56d305b2dea,,Opus Magnum,200000,500000,350000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,2798600,4197899.999999999,5597200,1000000,1,Higher,3697899.999999999
276c4c175cb5,,OPUS: Echo of Starsong,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
b1165a838c4e,,Out of the Park Baseball 17,50000,100000,75000,,,,,,,,1000000,,Higher,
e8f7edd865a5,,Out of the Park Baseball 18,20000,50000,35000,,,,,,,,1000000,,Medium,
2e901874a837,,Persona 5 Royal,0,20000,10000,59.99,23.996000000000002,35.994,47.992000000000004,239960.00000000003,359940,479920.00000000006,1000000,0,Low,-140060
74030c8f0606,,Pinball FX3,500000,1000000,750000,23.97,9.588,14.382,19.176,7190999.999999999,10786500,14381999.999999998,1000000,1,Higher,10286500
f698400b8814,,Portal 2,0,20000,10000,9.99,3.9960000000000004,5.994,7.992000000000001,39960.00000000001,59940,79920.00000000001,1000000,0,Low,-440060
50bb6c32429f,,Quake,1000000,2000000,1500000,9.99,3.9960000000000004,5.994,7.992000000000001,5994000.000000001,8991000,11988000.000000002,1000000,1,Higher,8491000
6e741f31b6aa,,Red Dead Redemption 2,10000000,20000000,15000000,14.99,5.996,8.994,11.992,89940000,134910000,179880000,1000000,1,Higher,134410000
e1d80bb6fba0,,Resident Evil 4,5000000,10000000,7500000,39.99,15.996000000000002,23.994,31.992000000000004,119970000.00000001,179955000,239940000.00000003,1000000,1,Higher,179455000
5b39a7c463e3,,Resident Evil Requiem,0,20000,10000,69.99,27.996,41.99399999999999,55.992,279960,419939.99999999994,559920,1000000,0,Low,-80060.00000000006
2afd5d3d57ab,,Rhell,0,20000,10000,14.99,5.996,8.994,11.992,59960.00000000001,89940,119920.00000000001,1000000,0,Low,-410060
6417547eb491,,Rise of Nations: Extended Edition,1000000,2000000,1500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,11994000,17990999.999999996,23988000,1000000,1,Higher,17490999.999999996
cd10d2ff00b0,,Rocket League,10000000,20000000,15000000,,,,,,,,1000000,,Higher,
9603c1057ab5,,Rome: Total War Collection,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
7124818ef795,,Satisfactory,10000000,20000000,15000000,27.99,11.196,16.793999999999997,22.392,167940000,251909999.99999994,335880000,1000000,1,Higher,251409999.99999994
12b38fe2c8ca,,Sektori,0,20000,10000,14.99,5.996,8.994,11.992,59960.00000000001,89940,119920.00000000001,1000000,0,Low,-410060
385e6fffc5df,,Shin Megami Tensei V: Vengeance,200000,500000,350000,59.99,23.996000000000002,35.994,47.992000000000004,8398600,12597900,16797200,1000000,1,Higher,12097900
2e31c0394006,,Sid Meier's Civilization III Complete,1000000,2000000,1500000,0.99,0.396,0.594,0.792,594000,891000,1188000,1000000,0,Higher,391000
c40260ae2e82,,Sid Meier's Civilization IV,1000000,2000000,1500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,11994000,17990999.999999996,23988000,1000000,1,Higher,17490999.999999996
f5e1bbe568c2,,Sid Meier's Civilization V,0,20000,10000,29.99,11.996,17.994,23.992,119960,179940,239920,1000000,0,Low,-320060
2bf2de8e1fe9,,Silent Hunter III,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
13a4a14f384a,,Slay the Princess - The Pristine Cut,500000,1000000,750000,17.99,7.196,10.793999999999999,14.392,5397000,8095499.999999999,10794000,1000000,1,Higher,7595499.999999999
f6217fc6eb8f,,SpeedRunners,2000000,5000000,3500000,2.99,1.1960000000000002,1.794,2.3920000000000003,4186000.0000000005,6279000,8372000.000000001,1000000,1,Higher,5779000
07e675e3188c,,Spelunky,1000000,2000000,1500000,3.74,1.4960000000000002,2.244,2.9920000000000004,2244000.0000000005,3366000.0000000005,4488000.000000001,1000000,1,Higher,2866000.0000000005
7e1d9143d6e2,,Spelunky 2,1000000,2000000,1500000,6.99,2.7960000000000003,4.194,5.5920000000000005,4194000.0000000005,6291000,8388000.000000001,1000000,1,Higher,5791000
f16ef7000606,,Sprint Vector,20000,50000,35000,4.49,1.7960000000000003,2.694,3.5920000000000005,62860.00000000001,94290,125720.00000000001,1000000,0,Medium,-405710
2438617c3623,,Stardew Valley,20000000,50000000,35000000,14.99,5.996,8.994,11.992,209860000.00000003,314790000,419720000.00000006,1000000,1,Higher,314290000
4e796592e06c,,Street Fighter 6,2000000,5000000,3500000,39.99,15.996000000000002,23.994,31.992000000000004,55986000.00000001,83979000,111972000.00000001,1000000,1,Higher,83479000
f01cf2770dde,,Tadpole Treble,20000,50000,35000,4.99,1.9960000000000002,2.994,3.9920000000000004,69860.00000000001,104790.00000000001,139720.00000000003,1000000,0,Medium,-395210
4a56bafad301,,Tetris Effect: Connected,500000,1000000,750000,39.99,15.996000000000002,23.994,31.992000000000004,11997000.000000002,17995500,23994000.000000004,1000000,1,Higher,17495500
4a1e938ad4dd,,The Elder Scrolls IV: Oblivion GOTY Edition,2000000,5000000,3500000,14.99,5.996,8.994,11.992,20986000,31479000,41972000,1000000,1,Higher,30979000
ab219e16ab35,,The Elder Scrolls V: Skyrim,5000000,10000000,7500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,59970000,89954999.99999999,119940000,1000000,1,Higher,89454999.99999999
023e7df320d9,,The Longest Journey,200000,500000,350000,9.99,3.9960000000000004,5.994,7.992000000000001,1398600.0000000002,2097900,2797200.0000000005,1000000,1,Higher,1597900
afe22891669c,,The Sims 2 Legacy Collection,50000,100000,75000,29.99,11.996,17.994,23.992,899700,1349550,1799400,1000000,1,Higher,849550
c5fb926edbe9,,The Sims Legacy Collection,20000,50000,35000,9.99,3.9960000000000004,5.994,7.992000000000001,139860.00000000003,209790,279720.00000000006,1000000,0,Medium,-290210
e66789fba8f5,,Thief Gold,500000,1000000,750000,1.74,0.6960000000000001,1.044,1.3920000000000001,522000.00000000006,783000,1044000.0000000001,1000000,0,Higher,283000
6db943bdcaf4,,Total War: EMPIRE - Definitive Edition,1000000,2000000,1500000,4.99,1.9960000000000002,2.994,3.9920000000000004,2994000.0000000005,4491000,5988000.000000001,1000000,1,Higher,3991000
f5ff4a51392e,,TrainClicker,0,20000,10000,9.99,3.9960000000000004,5.994,7.992000000000001,39960.00000000001,59940,79920.00000000001,1000000,0,Low,-440060
2c373b6b0af8,,Tumblestone,100000,200000,150000,6.24,2.4960000000000004,3.7439999999999998,4.992000000000001,374400.00000000006,561600,748800.0000000001,1000000,0,Higher,61600
80f6c2cf3190,,UFO 50,100000,200000,150000,24.99,9.996,14.993999999999998,19.992,1499400,2249099.9999999995,2998800,1000000,1,Higher,1749099.9999999995
0e5c0be038be,,Undertale,5000000,10000000,7500000,2.49,0.9960000000000001,1.494,1.9920000000000002,7470000.000000001,11205000,14940000.000000002,1000000,1,Higher,10705000
2cc718eb3b30,,Unreal Tournament 2004: Editor's Choice Edition,1000000,2000000,1500000,,,,,,,,1000000,,Higher,
c94981f7a947,,VIDEOVERSE,0,20000,10000,12.99,5.196000000000001,7.794,10.392000000000001,51960.00000000001,77940,103920.00000000001,1000000,0,Low,-422060
7b962ada5915,1091500,Cyberpunk 2077,20000000,50000000,35000000,59.99,23.996000000000002,35.994,47.992000000000004,839860000.0000001,1259790000,1679720000.0000002,1000000,1,Higher,1259290000
c171d77814b4,292030,The Witcher 3: Wild Hunt,20000000,50000000,35000000,39.99,15.996000000000002,23.994,31.992000000000004,559860000.0000001,839790000,1119720000.0000002,1000000,1,Higher,839290000
9c52a3598850,105600,Terraria,20000000,50000000,35000000,9.99,3.9960000000000004,5.994,7.992000000000001,139860000.00000003,209790000,279720000.00000006,1000000,1,Higher,209290000
4085787f7807,367520,Hollow Knight,5000000,10000000,7500000,14.99,5.996,8.994,11.992,44970000,67455000,89940000,1000000,1,Higher,66955000
419754bf79a1,588650,Dead Cells,5000000,10000000,7500000,24.99,9.996,14.993999999999998,19.992,74970000,112454999.99999999,149940000,1000000,1,Higher,111954999.99999999
75ba5b8b2826,504230,Celeste,2000000,5000000,3500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,27986000,41978999.99999999,55972000,1000000,1,Higher,41478999.99999999
cfb9841b3aa4,294100,RimWorld,5000000,10000000,7500000,34.99,13.996000000000002,20.994,27.992000000000004,104970000.00000001,157455000,209940000.00000003,1000000,1,Higher,156955000
679de5f22297,255710,Cities: Skylines,10000000,20000000,15000000,29.99,11.996,17.994,23.992,179940000,269910000,359880000,1000000,1,Higher,269410000
447c6801aa58,227300,Euro Truck Simulator 2,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
a7b34c28ebce,739630,Phasmophobia,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
543673e9f39f,1623730,Palworld,50000000,100000000,75000000,29.99,11.996,17.994,23.992,899700000,1349550000,1799400000,1000000,1,Higher,1349050000
9c2f2f3ee3ec,553850,HELLDIVERS 2,20000000,50000000,35000000,39.99,15.996000000000002,23.994,31.992000000000004,559860000.0000001,839790000,1119720000.0000002,1000000,1,Higher,839290000
51382098b4bd,275850,No Man's Sky,5000000,10000000,7500000,59.99,23.996000000000002,35.994,47.992000000000004,179970000.00000003,269955000,359940000.00000006,1000000,1,Higher,269455000
b2b936079bd2,814380,Sekiro: Shadows Die Twice - GOTY Edition,10000000,20000000,15000000,59.99,23.996000000000002,35.994,47.992000000000004,359940000.00000006,539910000,719880000.0000001,1000000,1,Higher,539410000
3d7a7f2e4363,374320,DARK SOULS III,5000000,10000000,7500000,59.99,23.996000000000002,35.994,47.992000000000004,179970000.00000003,269955000,359940000.00000006,1000000,1,Higher,269455000
57db119677f6,268910,Cuphead,5000000,10000000,7500000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,59970000,89954999.99999999,119940000,1000000,1,Higher,89454999.99999999
7acae052b213,264710,Subnautica,5000000,10000000,7500000,29.99,11.996,17.994,23.992,89970000,134955000,179940000,1000000,1,Higher,134455000
a8ec0183b45c,892970,Valheim,10000000,20000000,15000000,19.99,7.9959999999999996,11.993999999999998,15.991999999999999,119940000,179909999.99999997,239880000,1000000,1,Higher,179409999.99999997
2ed08276cee4,548430,Deep Rock Galactic,5000000,10000000,7500000,29.99,11.996,17.994,23.992,89970000,134955000,179940000,1000000,1,Higher,134455000
0454154dc9da,550,Left 4 Dead 2,50000000,100000000,75000000,9.99,3.9960000000000004,5.994,7.992000000000001,299700000.00000006,449550000,599400000.0000001,1000000,1,Higher,449050000
